Variable,Value,ValueDescription,QuestionOrMeaning,FreeText,Type
C2_gas,ine dire ct debit); st offi ce); Pre payment meter; Inclu ded in r ent; O ther; N ot applicable / no mains g as; Don 't kno w,,"Gas Direct debit (includi ng onl Payment on receipt of bill (by pos t, telephone, online or at bank/po",FALSE,Primary
C3,,,"During the cold winter weather, can you normal ly keep comfo rtably w arm in your living room?",FALSE,Primary
C4_1,heat response; N A,,You feel your ho me is difficult to You feel you r home is diffi cult to heat: No,FALSE,Primary
C4_2,r home your home; No resp onse; NA,,You feel it is diff icult to afford the You feel it is difficult to af ford the fuel to heat fuel to heat you,FALSE,Primary
C4_3,Prefer not to say; N o resp onse; N A,,Prefer not to sa y,FALSE,Primary
C4_4,None of the above; No res ponse; NA,,None of the abo ve,FALSE,Primary
C4_5,Other reaso n; No re spons e; NA,,Other reason,FALSE,Primary
C5,it for you Very easy; F airly ea sy; Ne ither ea sy nor difficult; Fair ly diffic ult; V ery diffic ult; Don't,,How easy or diff icult is to meet your he ating/f uel costs? know,FALSE,Primary
C6,leave Daily; Most days; Rar ely; neve r; Don 't kno w;,,"During this win te r, do you your home to go to heated Prefer not to say spaces elsewh ere with the main purpose of kee pi ng warm?",FALSE,Primary
D1,,,"How many peo pl e currentl y live i n your househ ol d, includin g you?",FALSE,Primary
D1_flag,TRUE/FALSE,,,FALSE,Derived
D2_0_5,0-5 years 0 people; 1 person; 2 people; 3 peop le; 4 or 6-15 years 0 people; 1 person; 2 people; 3 peop le; 4 or 16-24 years 0 people; 1 person; 2 people; 3 peop le; 4 or,,more people more people more people,FALSE,Primary
D2_24_44,25-44 years 0 people; 1 person; 2 people; 3 peop le; 4 or 45-64 years 0 people; 1 person; 2 people; 3 peop le; 4 or,,more people more people,FALSE,Primary
D2_65_74,65-74 years 0 people; 1 person; 2 people; 3 peop le; 4 or,,more people,FALSE,Primary
D2_75_85,75-84 years 0 people; 1 person; 2 people; 3 peop le; 4 or,,more people,FALSE,Primary
D2_85plus,85+ years 0 people; 1 person; 2 people; 3 peop le; 4 or,,more people,FALSE,Primary
D2_ignored,TRUE/FALSE,,,FALSE,Derived
D2_min_total,,,,FALSE,Derived
D3_1,30 0 people; 1 person; 2 people; 3 peop le; 4 or,,Working (paid or unpaid): hours a week o r more more people,FALSE,Primary
D3_2,less 0 people; 1 person; 2 people; 3 peop le; 4 or,,Working (paid or unpaid): than 30 hours a week more people,FALSE,Primary
D3_3,g 0 people; 1 person; 2 people; 3 peop le; 4 or,,Not working be ca use of lon term sickness or disability more people,FALSE,Primary
D3_4,ing work 0 people; 1 person; 2 peo ple; 3 people ; 4 or,,Unemployed but seek more people,FALSE,Primary
D3_5,Student 0 people; 1 person; 2 peo ple; 3 people ; 4 or,,more people,FALSE,Primary
D3_6,seeking 0 people; 1 person; 2 peo ple; 3 people ; 4 or,,Retired/at home/not work (including looki ng after the more people home or family),FALSE,Primary
D3_7,,,Other,FALSE,Primary
