domain,master_var_name,concept,Sign Up Survey,2023 Survey,2025 Survey,Sign Up Survey Coding Type,2023 Survey Coding Type,2025 Survey Coding Type,Column Harmonisation,Master Dataframe Coding Type,notes
Appliances,el_drying_rack,Appliances in accommodation - Laundry - Electric Drying Rack (heated airer),,,Q13_13,,,,,,
Appliances,iron,Appliances in accommodation - Laundry - Electric Iron,,,Q13_14,,,,,,
Appliances,vacuum_cleaner,Appliances in accommodation - Housework - Vacuum Cleaner,,,Q13_15,,,,,,
Appliances, electric_shower,Appliances in accommodation - Electric Shower,,,Q13_16,,,,,,
Appliances,smart_speakers,Appliances in accommodation - Smart home assistants / speakers (e.g. Alexa),,,Q13_19,,,,,,
Appliances,other_smart_eqp,"Appliances in accommodation - Other smart home solutions, like smart plugs or app enabled appliances:",,,Q13_20,,,,,,
Appliances,dehumidifier,Appliances in accommodation - Air quality - Dehumidifier,,,Q13_23,,,,,,
Appliances,humidifier,Appliances in accommodation - Air quality - Humidifier,,,Q13_24,,,,,,
Appliances,electric_heater,Appliances in accommodation - Heating - Electric Heater,,,Q13_25,,,,,,
Appliances,e_scooter,Appliances in accommodation - Transport - E-scooter,,,Q13_26,,,,,,
Appliances,e_bike,Appliances in accommodation - Transport - E-bike,,,Q13_27,,,,,,
Appliances,e_cargo_bike,Appliances in accommodation - Transport - E-cargo bike,,,Q13_28,,,,,,
Environment,private_garden_access,Does your household have access to a private garden?,,,Q14_1,,,,,,
Environment,shared_garden_access,Does your household have access to a shared garden?,,,Q14_2,,,,,,
Environment,balcony_terrace_access,"Does your household have access to a private balcony, private small patio, or private roof terrace?",,,Q14_3,,,,,,
Environment,shared_terrace_access,Does your household have access to a shared roof terrace?,,,Q14_4,,,,,,
Environment,green_space_access,"Does your household have access to a park, wood, or other green space your household can access within easy walking distance of your home?",,,Q14_5,,,,,,
Environment,no_garden_park_access,Household has no access in green spaces (all of the above).,,,Q14_6,,,,,,
Energy,no_sustainable_present,Does your household have other sustainable solutions? No sustainable solution,,,Q16_11,,,,,,
Energy,dk_sustainable_present,Does your household have other sustainable solutions? Don't know,,,Q16_12,,,,,,
Energy,house_heat_zones,Can different zones of the house be independently heated to different temperatures at different times?,,,Q17_5,,,,,,
Energy,boiler_flow_temp_adjust,Can the boiler flow temperature be adjusted?,,,Q17_6,,,,,,
Energy,no_heat_controls,Does your household have heating controls? No,,,Q17_7,,,,,,The exact question is: None of the above in dictionary
Energy,dk_heat_controls,Does your household have heating controls? Don't know,,,Q17_8,,,,,,
